date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:25:31	70622/70622	---M-Z	200	added ('OK')	text/html	etag:%22113de-69054403-6abdb72a3ace889;gz%22	https://amincode.com/tm-html/flex-it/home-6.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/home-6.html	(from )
11:25:32	1903/1903	---M-Z	404	error ('Not%20Found')	text/html	etag:%22119f-68074818-ea487190dccd49fb;gz%22	https://amincode.com/robots.txt		(from )
11:25:32	1165/1165	---M--	200	added ('OK')	image/png	etag:%2248d-69054403-355908b18c3101ab;;;%22	https://amincode.com/tm-html/flex-it/assets/images/fav-icon/fav-icon.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/fav-icon/fav-icon.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:33	232018/232018	---M-Z	200	added ('OK')	text/css	etag:%2238a52-69054403-794782b7e0da5212;gz%22	https://amincode.com/tm-html/flex-it/css/vendors/bootstrap.min.css	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/css/vendors/bootstrap.min.css	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:33	88068/88068	---M-Z	200	added ('OK')	text/css	etag:%2215804-69054403-ec7391a36ca8830f;gz%22	https://amincode.com/tm-html/flex-it/css/vendors/animate.css	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/css/vendors/animate.css	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:33	13871/13871	---M-Z	200	added ('OK')	text/css	etag:%22362f-69054403-5a22a7bc4a3389a7;gz%22	https://amincode.com/tm-html/flex-it/css/vendors/swiper-bundle.min.css	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/css/vendors/swiper-bundle.min.css	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:33	12773/12773	---M-Z	200	added ('OK')	text/css	etag:%2231e5-69054403-e46902594a38eb70;gz%22	https://amincode.com/tm-html/flex-it/css/vendors/flaticon/flaticon.css	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/css/vendors/flaticon/flaticon.css	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:33	103009/103009	---M-Z	200	added ('OK')	text/css	etag:%2219261-69054403-bb183e444fdd52fc;gz%22	https://amincode.com/tm-html/flex-it/css/vendors/all.min.css	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/css/vendors/all.min.css	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:34	88585/88585	---M-Z	200	added ('OK')	text/css	etag:%2215a09-69054403-ea041e95eb4035d;gz%22	https://amincode.com/tm-html/flex-it/css/vendors/bootstrap-icons-1.9.1/bootstrap-icons.css	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/css/vendors/bootstrap-icons-1.9.1/bootstrap-icons.css	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:34	13735/13735	---M-Z	200	added ('OK')	text/css	etag:%2235a7-69054403-1176104a2714e881;gz%22	https://amincode.com/tm-html/flex-it/css/vendors/jquery.fancybox.min.css	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/css/vendors/jquery.fancybox.min.css	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:34	127286/127286	---M-Z	200	added ('OK')	text/css	etag:%221f136-69054403-7af7adc5390a92d4;gz%22	https://amincode.com/tm-html/flex-it/css/main-LTR.css	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/css/main-LTR.css	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:34	1013/1013	---M--	200	added ('OK')	image/png	etag:%223f5-69054403-7808fb6d54e16436;;;%22	https://amincode.com/tm-html/flex-it/assets/images/logo/logo-light.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/logo/logo-light.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:35	1195/1195	---M--	200	added ('OK')	image/png	etag:%224ab-69054403-94a8b07ae946d897;;;%22	https://amincode.com/tm-html/flex-it/assets/images/logo/logo-dark.png	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/assets/images/logo/logo-dark.png	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:35	71761/71761	---M-Z	200	added ('OK')	text/html	etag:%2211851-69054403-cc378baab2ba33f5;gz%22	https://amincode.com/tm-html/flex-it/home-2.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/home-2.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:35	99296/99296	---M-Z	200	added ('OK')	text/html	etag:%22183e0-69054403-87e7cfe903c0b279;gz%22	https://amincode.com/tm-html/flex-it/	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/index.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
11:25:36	70438/70438	---M-Z	200	added ('OK')	text/html	etag:%2211326-69054403-76d330a6cf782c44;gz%22	https://amincode.com/tm-html/flex-it/home-3.html	C:/My%20Web%20Sites/mi-video%20theme/amincode.com/tm-html/flex-it/home-3.html	(from https://amincode.com/tm-html/flex-it/home-6.html)
